id,desc,createTime,video.duration,author.verified,music.title,stats.playCount,stats.diggCount,stats.commentCount,stats.shareCount,hashtagFreqFeature,desc_len,num_hashtags,verified,hour,weekday,is_original_sound,engagement_score
6853170163550866693,@7.3excursion looking clean on them American Force wheels 😎👊 -@perfectionglen_ #southerntruckz #truckporn #dieseltrucks #diesels #wheels #chevy,2020-07-24 22:00:22,14,False,original sound,4685,614,7,33,0,143,6,0,22,4,1,0.0019414347899782728
6853125692985494789,Lifted Civic Anyone?? 🤣• @senorindiann •#LiftedCar #HondaCivic #SAS #MudTires #southerntruckz #dieseltrucks #truckporn #diesels #wheels,2020-07-24 19:07:52,11,False,original sound,3250,278,4,39,0,135,9,0,19,4,1,0.0012026819702317085
6852839847745293574,Repost from @tatestolfaAmerican Forces rolling out with Nitto Trail Graps! 🤘 #southerntruckz #truckporn #dieseltrucks #diesels #wheels #ford,2020-07-24 00:38:35,6,False,rockstar sheesh but its chill aesthetic,3006,285,1,0,0,140,6,0,0,4,0,0.0005310501935847572
6852759550781689094,Welding rigs goal? 🤩 #southerntruckz #dieseltrucks #truckporn #fyp #diesels #chevy #4x4diesels #welding #weldingrigs #ram #chevy,2020-07-23 19:26:59,6,False,original sound,11700,793,2,16,0,128,11,0,19,3,1,0.0016369032096958402
6852472922565643525,Repost from @diesel_dan_777 😂😂😂 #truckporn #trucks #rollcoal #4x4 #chevy #dieselnation #liftedtrucks #ford #diesellife #cummins #dieselpower,2020-07-23 00:54:45,8,False,original sound,2698,236,0,7,0,140,11,0,0,3,1,0.0003797995765662615
6852373143609298182,Double Tap if you would ya take this setup! 💪Credit to @platinummotorspdx  @bigg_name and @fab_itup #southerntruckz #dieseltrucks #truckporn,2020-07-22 18:27:32,17,False,The Buzz (feat. Mataya & Young Tapz),4136,516,3,14,0,140,3,0,18,2,0,0.0011534631210455312
6852102757982178565,Which one are you picking?  @tatestolfa #southerntruckz #fyp #truckporn #dieseltrucks #diesel #wheels #ford #trucks #4x4diesels #tires #ram #chevy,2020-07-22 00:58:18,10,False,Self Control,1880,138,1,2,0,146,12,0,0,2,0,0.00036145019435147494
6852018297794219270,Guess how much it's worth 🤷🏼‍♂️ @mmtwothree #southerntruckz #truckporn #dieseltrucks #diesels #wheels #tires #4x4diesels #yolo #ford #ram #chevy,2020-07-21 19:30:33,14,False,original sound,2559,265,4,13,0,144,11,0,19,1,1,0.0009910329364410239
6851950527295556870,Tag the first person that comes to mind 🚀 @mrpoppageorgio #southerntruckz #dieseltrucks #truckporn #fyp #diesels #truckporn #wheels #ford #chevy,2020-07-21 15:07:34,9,False,original sound,2952,302,14,30,0,144,9,0,15,1,1,0.0025372696780649627
6851771306090695942,Brushed hits different🔥 -@tatestolfa #southerntruckz #fyp #truckporn #dieseltrucks #wheels #4x4diesels #diesels #tires #chevy #ford #yolo #truck,2020-07-21 03:32:08,4,False,One last pic and Ill be gone.,2988,278,0,1,0,144,12,0,3,1,0,0.0003919111407956933
6851718698512731397,Repost from @perfectionglen_Them Nemesis wheels 🔥 #perfectionwheels #southerntruckz #dieseltrucks #wheels #tires #diesels #4x4diesels #ford,2020-07-21 00:07:58,4,False,hey this is my sound watch the og video mwah,3022,343,1,2,0,139,8,0,0,1,0,0.0005949547528162609
6851645981486796038,She's an oldie but a Goldie 😍Owner: @_big_red_76 #southerntruckz #fyp #truckporn #dieseltrucks #diesels #wheels #4x4diesels #tires #jeep #ford,2020-07-20 19:25:46,11,False,original sound,1784,161,1,1,0,142,10,0,19,0,1,0.0003703049569600955
6851376727264988422,Repost from @tatestolfaAmerican force concave hornets👀#perfectionwheels #southerntruckz #truckporn #dieseltrucks #diesels #wheels #tires,2020-07-20 02:00:57,6,False,Charli used this sound,4768,638,4,3,0,136,7,0,2,0,0,0.001358190740710441
6851304760088366342,How many Jeeps to pull a Chevy 🤔 Owner: @brrcandy #southerntruckz #fyp #truckporn #dieseltrucks #diesels #wheels #chevy #tires #4x4diesels #truck,2020-07-19 21:21:39,4,False,original sound,3212,287,5,0,0,145,10,0,21,6,1,0.0010972341681634193
6851197816514071814,When your crush says she only likes sports cars😂🤣 Credit to owner! #southerntruckz #dieseltrucks #diesels #wheels #ford #chevy #truckporn #tires,2020-07-19 14:26:40,8,False,original sound,3230,275,0,5,0,144,8,0,14,6,1,0.00042675517672906174
